Vendedor,Cliente,Nombre,Categoria,Material,Descripción,Presentación,Embalaje,Enero 24,Febrero 24,Marzo 24,Abril 24,Mayo 24,Junio 24,Julio 24,Agosto 24,Septiembre 24,Octubre 24,Noviembre 24,Diciembre 24,Enero 25,Febrero 25,Marzo 25,Abril 25,Mayo 25,Junio 25,Julio 25,Agosto 25,Septiembre 25,Octubre 25,Noviembre 25,Diciembre 25,Pedido1,Pedido2,Total
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50043,ANTICORROSIVO DURACOLOR GRIS GALON,GALON,4 UN,40.0,12.0,12.0,12.0,16.0,8.0,12.0,20.0,16.0,8.0,28.0,,48.0,14.4,14.4,14.4,19.2,9.6,14.4,24.0,19.2,9.6,33.6,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50044,ANTICORROSIVO DURACOLOR GRIS LITRO,LITRO,6 UN,,,,6.0,12.0,,6.0,12.0,,,12.0,12.0,,,,7.2,14.4,,7.2,14.4,,,14.4,14.4,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50053,ANTICORROSIVO DURAC. BLANCO MATE GALON,GALON,4 UN,,,4.0,4.0,20.0,,,4.0,,,,,,,4.8,4.8,24.0,,,4.8,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50054,ANTICORROSIVO DURAC. BLANCO MATE LITRO,LITRO,6 UN,,,,,,,6.0,,,,,,,,,,,,7.2,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50172,ANTICORROSIVO DURACOLOR ROJO OXIDO CANEC,CANECA,1 UN,3.0,,,4.0,,,,,5.0,,,,3.6,,,4.8,,,,,6.0,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50173,ANTICORROSIVO DURACOLOR ROJO OXIDO GALON,GALON,4 UN,40.0,24.0,20.0,20.0,12.0,20.0,16.0,20.0,40.0,20.0,28.0,,48.0,28.8,24.0,24.0,14.4,24.0,19.2,24.0,48.0,24.0,33.6,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD50174,ANTICORROSIVO DURACOLOR ROJO OXIDO LITRO,LITRO,6 UN,,,12.0,,,,12.0,,,,12.0,,,,14.4,,,,14.4,,,,14.4,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD5B013,ANTICORROSIVO DURACOLOR BR NEGRO GALON,GALON,4 UN,4.0,,,,,,,,,,,,4.8,,,,,,,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD5B042,ANTICORROSIVO DURACOLOR BR GRIS CANECA,CANECA,1 UN,,,,,,,,,,,,2.0,,,,,,,,,,,,2.4,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD5B173,ANTICORROSIVO DURACOLOR BR ROJO OX GALON,GALON,4 UN,4.0,,8.0,,,4.0,8.0,12.0,4.0,,,,4.8,,9.6,,,4.8,9.6,14.4,4.8,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURA ESMALTE,CD5B174,ANTICORROSIVO DURACOLOR BR ROJO OX LITRO,LITRO,6 UN,,,,,,,12.0,,,,,,,,,,,,14.4,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURAS LATEX,CA10052,PINTURA SUPER-ECO BLANCO 005 CANECA,CANECA,1 UN,,,,,,,,,3.0,,,,,,,,,,,,3.6,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURAS LATEX,CA10053,PINTURA SUPER-ECO BLANCO 005 GALON,GALON,CAJA 4 UN,8.0,,8.0,,12.0,,8.0,,16.0,,4.0,,9.6,,9.6,,14.4,,9.6,,19.2,,4.8,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURAS LATEX,CA10482,PINTURA SUPER-ECO MANDARINA CANECA,CANECA,1 UN,,,,,,3.0,,,,,,,,,,,,3.6,,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,PINTURAS LATEX,CA10493,PINTURA SUPER-ECO GOLDEN GALON,GALON,CAJA 4 UN,,,,,,16.0,,,,,,,,,,,,19.2,,,,,,,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,RESINAS,1P51815,RESINPLAST GALON NUEVA IMAGEN (6),GALON,CAJA 6 UN,18.0,,12.0,,6.0,6.0,6.0,,12.0,,,6.0,21.6,,14.4,,7.2,7.2,7.2,,14.4,,,7.2,,,
002,20013769,ACROPOLIS HOME STORE FERRETERIA,RESINAS,1P51820,RESINPLAST LITRO NUEVA IMAGEN (30),LITRO,CAJA 30 UN,,,,,,,,30.0,,,,,,,,,,,,36.0,,,,,,,
